epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4562,1.42941,1.87059,0.01136,0.73843,0.75803,0.79359,0.58567,1.0992,0.95957,0.01018,0.000415861,0.000415861,0.000415861
2,118.265,1.10082,0.85271,0.00785,0.8162,0.80272,0.86374,0.65475,0.99932,0.72644,0.00885,0.000808286,0.000808286,0.000808286
3,171.727,1.06915,0.72191,0.00756,0.84542,0.80099,0.87623,0.66021,0.99652,0.68751,0.00873,0.00117645,0.00117645,0.00117645
4,223.887,1.04096,0.67464,0.0073,0.8398,0.80509,0.88614,0.6764,0.96111,0.6645,0.00841,0.00114081,0.00114081,0.00114081
5,277.028,1.007,0.63639,0.00704,0.85512,0.8095,0.88561,0.68394,0.93067,0.64468,0.0083,0.00110441,0.00110441,0.00110441
6,329.972,0.98988,0.60884,0.00687,0.85555,0.8313,0.89765,0.69088,0.91741,0.62136,0.00789,0.00106801,0.00106801,0.00106801
7,383.531,0.97107,0.59291,0.00669,0.87386,0.8185,0.90385,0.70095,0.88773,0.61273,0.00762,0.00103162,0.00103162,0.00103162
8,436.276,0.95019,0.57567,0.00651,0.84863,0.85007,0.90952,0.70378,0.89758,0.5994,0.00768,0.000995221,0.000995221,0.000995221
9,489.18,0.94198,0.56805,0.00639,0.89014,0.83331,0.9094,0.71149,0.8677,0.57308,0.00742,0.000958824,0.000958824,0.000958824
10,541.612,0.93174,0.55985,0.00634,0.86647,0.84102,0.90747,0.70396,0.87978,0.58505,0.00748,0.000922426,0.000922426,0.000922426
11,593.443,0.91992,0.55312,0.00627,0.87325,0.84459,0.91357,0.72014,0.85531,0.56051,0.00735,0.000886029,0.000886029,0.000886029
12,646.866,0.91752,0.54692,0.00624,0.88914,0.83386,0.91362,0.72142,0.84437,0.55932,0.00723,0.000849632,0.000849632,0.000849632
13,699.92,0.90339,0.53307,0.00609,0.89163,0.83722,0.91638,0.72551,0.8316,0.54883,0.00706,0.000813235,0.000813235,0.000813235
14,752.517,0.89983,0.52866,0.00609,0.88237,0.84323,0.91628,0.72893,0.82978,0.54248,0.0071,0.000776838,0.000776838,0.000776838
15,804.771,0.88887,0.5221,0.00598,0.88894,0.85243,0.92167,0.73088,0.82749,0.5245,0.00703,0.000740441,0.000740441,0.000740441
16,857.075,0.88459,0.51734,0.00593,0.89461,0.83606,0.91981,0.73203,0.82343,0.53249,0.007,0.000704044,0.000704044,0.000704044
17,910.183,0.8761,0.52205,0.00588,0.88792,0.85252,0.92302,0.73594,0.81213,0.52387,0.00688,0.000667647,0.000667647,0.000667647
18,963.792,0.86744,0.51176,0.0058,0.89769,0.83818,0.92086,0.73565,0.81086,0.53133,0.00686,0.00063125,0.00063125,0.00063125
19,1015.39,0.85712,0.50244,0.00573,0.88891,0.85409,0.92144,0.73529,0.81147,0.51966,0.00684,0.000594853,0.000594853,0.000594853
20,1068.11,0.8552,0.50181,0.00569,0.88998,0.85464,0.92169,0.74005,0.80486,0.51386,0.00681,0.000558456,0.000558456,0.000558456
21,1120.64,0.84757,0.49142,0.00565,0.89781,0.84815,0.92347,0.74155,0.79902,0.51254,0.00674,0.000522059,0.000522059,0.000522059
22,1172.91,0.84594,0.49382,0.00561,0.90033,0.84643,0.92351,0.74215,0.79486,0.51121,0.0067,0.000485662,0.000485662,0.000485662
23,1226.5,0.83749,0.49066,0.00553,0.89688,0.84747,0.92355,0.74292,0.79449,0.50895,0.0067,0.000449265,0.000449265,0.000449265
24,1279.44,0.83022,0.48371,0.00549,0.89405,0.8477,0.92479,0.74374,0.79097,0.50327,0.00665,0.000412868,0.000412868,0.000412868
25,1331.29,0.79391,0.47201,0.00647,0.90073,0.85017,0.92766,0.74616,0.78847,0.50141,0.00663,0.000376471,0.000376471,0.000376471
26,1382.98,0.78559,0.4634,0.0064,0.89739,0.85522,0.92807,0.74831,0.78589,0.49292,0.00659,0.000340074,0.000340074,0.000340074
27,1435.29,0.78039,0.4584,0.00634,0.90334,0.84878,0.92823,0.7492,0.77979,0.49391,0.00654,0.000303676,0.000303676,0.000303676
28,1487.02,0.7728,0.45617,0.00629,0.89498,0.85946,0.92874,0.75019,0.77657,0.49172,0.00651,0.000267279,0.000267279,0.000267279
29,1538.44,0.76632,0.45618,0.00621,0.90253,0.85724,0.93037,0.75185,0.77289,0.49117,0.00647,0.000230882,0.000230882,0.000230882
30,1591.16,0.7596,0.45126,0.00614,0.89619,0.86244,0.93098,0.753,0.77011,0.48858,0.00644,0.000194485,0.000194485,0.000194485
31,1642.77,0.7558,0.4477,0.00609,0.89813,0.86078,0.93098,0.75335,0.76637,0.48664,0.00643,0.000158088,0.000158088,0.000158088
32,1694.28,0.74931,0.44704,0.00604,0.89938,0.85762,0.93047,0.75373,0.76573,0.48756,0.00641,0.000121691,0.000121691,0.000121691
33,1745.92,0.74662,0.44126,0.00599,0.8979,0.86038,0.93114,0.7535,0.7668,0.48506,0.00641,8.52941e-05,8.52941e-05,8.52941e-05
34,1798.17,0.74222,0.44284,0.00596,0.89905,0.86019,0.93133,0.75413,0.76468,0.48569,0.0064,4.88971e-05,4.88971e-05,4.88971e-05
